drug,pearson,r2,rmse,n_samples,mut_attn,cnv_attn,exp_attn
Bosutinib,0.7974922361547151,0.6295477151870728,0.8514646771440978,132,0.6658,0.2616,0.0726
BX795,0.795721459639029,0.6205474138259888,0.7409032854138907,28,0.6687,0.2523,0.079
Venetoclax,0.7953326066467536,0.6271737813949585,1.1209682168359785,137,0.7755,0.1457,0.0789
ZM447439,0.792169778422389,0.6247511506080627,1.0917755834588172,141,0.6868,0.2311,0.0821
JNK Inhibitor VIII,0.7904341025210444,0.6182171106338501,0.5513404550534452,115,0.1568,0.8141,0.0292
I-BRD9,0.7890752078016668,0.6200820207595825,0.7772804119433948,128,0.3314,0.6202,0.0484
MIRA-1,0.7888996960107013,0.5932840704917908,0.7497692547927223,137,0.1809,0.7848,0.0344
Serdemetan,0.7860219833478723,0.6023842096328735,0.8147359672501419,151,0.4511,0.4965,0.0523
Ibrutinib,0.7853481644976312,0.6064426302909851,1.089834343107364,139,0.3546,0.5949,0.0505
AZD5991,0.784634533053525,0.6089035868644714,1.8304913195831702,122,0.4388,0.5017,0.0595
PLX-4720,0.7843981091491841,0.6152768135070801,0.8812580771109891,131,0.3755,0.5739,0.0507
Nelarabine,0.7838957827085393,0.5975866317749023,0.7001041794636771,114,0.1326,0.8333,0.0341
Ulixertinib,0.7811191759264808,0.6058645248413086,1.0347525331180936,126,0.6627,0.258,0.0794
AMG-319,0.7807732496016453,0.6029815077781677,0.7960744464244726,122,0.215,0.7534,0.0316
Motesanib,0.7796383383804392,0.602656364440918,0.6894390547832283,137,0.131,0.8407,0.0283
Sorafenib,0.7755987819717475,0.5915871262550354,0.6241112111526387,142,0.7475,0.1707,0.0819
KU-55933,0.7752218102431826,0.59660804271698,0.7147384732795659,161,0.1987,0.7669,0.0344
Ruxolitinib,0.77241171230985,0.5737996101379395,0.6854092060328518,142,0.1959,0.772,0.0321
IWP-2,0.7691282040445965,0.5803669691085815,0.5422754870431497,140,0.7291,0.1997,0.0712
Osimertinib,0.7684992343852404,0.5855350494384766,0.7070384789197414,133,0.8111,0.1003,0.0886
AZD1208,0.7684357034903875,0.5886746644973755,0.6481847845110199,128,0.1542,0.8144,0.0315
Mirin,0.7679784871221796,0.5641403198242188,0.7058866308762844,126,0.2358,0.7209,0.0433
GSK591,0.7663372983754974,0.5742633938789368,0.7893057721997813,141,0.2558,0.706,0.0383
Erlotinib,0.7657565596073369,0.5805782079696655,0.8384688012034694,148,0.6926,0.2359,0.0715
Pevonedistat,0.7627485317492917,0.5758986473083496,1.4058852676419598,116,0.7915,0.1059,0.1026
Savolitinib,0.7624559185418522,0.5783095359802246,0.7273849016752335,130,0.7475,0.1892,0.0634
Dabrafenib,0.7615147331192249,0.5424812436103821,1.372085212816669,145,0.3273,0.63,0.0427
AZD2014,0.7608593253181966,0.5682438611984253,0.844951022099963,109,0.7418,0.1659,0.0923
GSK343,0.7591474860195092,0.5735918283462524,0.8964251995294646,118,0.4517,0.4863,0.062
LGK974,0.7577217357254771,0.5724810361862183,0.7144647229203825,115,0.3787,0.5713,0.0501
Dinaciclib,0.7572744935608727,0.5643317699432373,0.9437608200362451,118,0.4256,0.4356,0.1388
Entospletinib,0.7553503368790992,0.5653359889984131,0.816678563018359,133,0.4836,0.4591,0.0573
GSK2606414,0.7549012892877214,0.5629996061325073,0.8003366492164469,147,0.4416,0.4986,0.0599
BMS-536924,0.7518142930430337,0.5564321279525757,0.8121866208725237,140,0.7712,0.1441,0.0847
Rapamycin,0.7450661515754304,0.5388027429580688,1.1417849665049165,142,0.6525,0.2372,0.1103
Staurosporine,0.7448580986029788,0.550889253616333,0.8536286442911101,145,0.491,0.3815,0.1275
GW441756,0.7387913264068452,0.5456900000572205,0.6535455061881125,138,0.5638,0.3752,0.061
NU7441,0.7381417642371515,0.5440269708633423,0.8649759014168492,136,0.6006,0.3296,0.0698
XAV939,0.7360561107657969,0.5197093486785889,0.7057199489277747,121,0.3448,0.6108,0.0443
Bortezomib,0.7325644779571784,0.5361233949661255,0.5997491232582162,141,0.14,0.5417,0.3183
Leflunomide,0.7318288501187147,0.5249844193458557,0.6269047798697415,137,0.192,0.779,0.029
Tamoxifen,0.7316163021395076,0.48409998416900635,0.8146038693492318,148,0.38,0.5651,0.0549
Wnt-C59,0.7235430924154761,0.5206258296966553,0.7467211337389736,127,0.2949,0.6612,0.0439
Luminespib,0.7169545140029754,0.46302664279937744,1.3969717175754885,144,0.5567,0.3241,0.1191
MG-132,0.7151617032955883,0.5085694789886475,0.4205409963991677,139,0.8453,0.0518,0.1029
Temsirolimus,0.7077570030467357,0.48981523513793945,1.1040687997499516,117,0.826,0.0844,0.0896
KRAS (G12C) Inhibitor-12,0.7060636496125293,0.4889320135116577,1.041403120398201,139,0.3097,0.6481,0.0422
Elesclomol,0.7045025862646274,0.4637179970741272,1.440426625393991,37,0.6223,0.2678,0.11
GSK1904529A,0.6969502389924201,0.4435391426086426,0.7503927712357671,121,0.3251,0.6319,0.043
Sabutoclax,0.6960241773670547,0.47181785106658936,1.0306421280103308,128,0.8299,0.0632,0.107
Cediranib,0.6953245456794792,0.4718720316886902,0.9279934812411366,147,0.7732,0.1428,0.0841
Bleomycin,0.6875402134481651,0.4622098207473755,1.0131009943740237,113,0.6968,0.2285,0.0747
Tanespimycin,0.6869471368558471,0.45706766843795776,1.0703231365482828,140,0.8335,0.0638,0.1026
Pyridostatin,0.6826569658814348,0.458959698677063,0.9263135771869007,134,0.4656,0.4839,0.0505
WEHI-539,0.6823019313081532,0.42917609214782715,1.2393384205339446,140,0.4375,0.5059,0.0566
Doramapimod,0.6817989170144254,0.45259302854537964,0.835855854361094,135,0.2058,0.7625,0.0317
PD173074,0.6782682471722699,0.44501930475234985,0.9854854194147,136,0.4727,0.4741,0.0532
Vismodegib,0.6776804153712275,0.33190250396728516,0.7581654542726137,162,0.1755,0.7937,0.0308
Fludarabine,0.6669830676596644,0.4202328324317932,1.447600826513851,88,0.2341,0.7295,0.0364
Fulvestrant,0.6618296268510205,0.39315885305404663,0.9574742751487981,127,0.4897,0.4463,0.064
Romidepsin,0.6595736812214681,0.38605421781539917,0.9348014458035057,98,0.1594,0.487,0.3535
Sepantronium bromide,0.5906371536648428,0.2788177728652954,1.413152117125244,120,0.1367,0.6124,0.2509
OSI-027,0.5844019662928822,0.3377941846847534,1.297584799051677,139,0.7278,0.1843,0.0878
Methotrexate,0.49634632456508204,0.1264052391052246,2.3079987096336634,123,0.7705,0.1411,0.0883
Daporinad,0.47962518084305966,0.12733840942382812,2.5489549627205146,91,0.2206,0.5526,0.2268
LCL161,0.4726538609350798,0.21109884977340698,1.1335215487053585,148,0.2174,0.7478,0.0347
